channel,wTime,sTime,peakViews,avgViews,followers
BeatportOfficial,180850230,27765,48457,5300,126546
Sanchovies,180166830,141225,15588,1250,154845
GhostFreak66,179939730,107295,94791,1029,111646
Monkeynews,179083095,154965,72483,1288,80290
WARDELL,178718460,127155,16215,1394,306435
NiteNightKid,178419030,149040,29228,1127,28818
fuslie,178245645,67560,45247,2504,336394
Tyceno,177947595,42825,40407,4015,297359
Faux,177800325,151170,15167,1133,237909
Drjayfisto,177159195,155340,4092,1105,130341
BigEx,176005440,96870,21401,1569,256448
Becca,174842160,115200,11405,1500,357844
SirhcEz,174824130,133410,5928,1279,579629
twlevewinsHS,174228915,102900,5425,1711,38410
Zombie_Barricades,173823135,228765,4497,735,172386
NBA2KLeague,173779995,28245,48495,4264,143535
GingiTV,171013470,89805,6450,1713,156597
venruki,170464680,133110,13179,1264,292558
nugiyen,169858440,159135,8448,996,121984
HighDistortion,169501845,105630,20179,1397,1677690
THump,169365870,92055,8063,1885,250786
MaTaFe_,169215480,153525,8535,1096,116653
VaporaDark,168943005,70650,5041,2338,101359
PaymoneyWubby,168861240,30600,16622,5485,302419
RTGameCrowd,168832200,38685,20354,4259,861594
Bawkbasoup,168736395,130215,7853,1259,94820
TSM_Hamlinz,167898480,11055,51989,15483,2137521
DougisRaw,167875230,153960,22641,1076,127151
Mmorpg,167774640,182925,4994,908,235167
BreaK,167534355,115560,9531,1432,309300
Xposed,167309220,111240,8580,1475,266853
BoarControlHS,166892040,153345,3622,1064,79204
CrReaM,166587645,142350,8098,1150,165906
SmallAnt,166352115,96720,11518,1821,255156
Naowh,165590085,120435,11693,1333,103636
Vargskelethor,164759730,58395,6577,2809,287063
LobosJr,163736505,121335,12709,1332,375646
Monstercat,163589370,519675,14261,313,788684
DuelLinksMeta,163307010,89910,5792,1886,88697
swimstrim,162723510,108540,13314,1383,137885
AnneMunition,162714930,99345,37236,1586,621921
Reverse2k,162618315,181665,14160,925,380488
erobb221,162559230,82470,10391,2028,244207
Cryaotic,162138405,85785,7169,1727,813371
Sweatcicle,161489220,137880,14550,1023,160000
tebtv,161468685,69315,13639,2177,76050
Alkaizerx,161185890,103950,12430,1312,153870
Rogue,159761910,121005,7289,1186,169330
easywithaces,159655155,107910,18686,1388,90359
dizzy,159505395,49125,19262,2997,795869
EAMaddenNFL,159449055,19995,57179,5697,241924
TobiasFate,159172080,127740,4681,1233,701822
PUBG,159140235,32865,35922,4647,733628
BananaSlamJamma,159071145,113595,5152,1263,170181
Dyrus,158999070,138300,11338,1123,1474090
IFrostBolt,158035530,169260,6210,897,199618
Kandyland,157882170,86745,9203,1748,405554
Sco,157847640,57690,15241,1790,375911
ProfessorBroman,157325925,154635,12676,955,732192
PardonMyTake,156004485,25140,141406,6728,143916
Sweet_Anita,155731920,57600,21594,2690,972070
Draineo,155593140,124095,7777,1169,102225
AnthonyZ,154524165,117735,7416,1216,199617
roflgator,153963765,110910,14329,1281,106365
QuarterJade,153857655,61980,12144,2286,277256
Stewie2K,151271895,24735,27416,5296,875087
jorbs,151128345,117795,4084,1243,70609
kurt0411,150579045,37710,26941,4083,142446
SayNoToRage,150150330,137820,8014,1010,168463
MiltonTPike1,149975130,81960,8838,1845,200012
MarketTradersTV,148900110,499215,1357,297,30413
Flambass,148717500,130395,5507,1138,71953
Aa9skillz,148596180,49035,11843,2885,502696
Limmy,148371105,90600,6575,1641,207508
kyliebitkin,147948870,127485,6688,1142,85336
CoconutB,147918285,122565,4596,1171,188378
FanHOTS,147664290,134550,2104,1090,64587
Killars,146865810,210810,4232,642,46971
Weak3n,146770110,115470,2922,1260,188176
Tourva,146412075,116070,5067,1185,287553
wintergaming,146245920,195615,7019,719,260779
monkeys_forever,145475145,80460,6738,1563,79270
trihex,144608640,121515,21721,1157,431935
Spaceboy,144599880,123015,10590,1107,135311
Froggen,144496815,46710,10648,3024,770030
RiceGum,144167385,12300,29173,11696,903261
ipav999,144114480,191400,2536,737,163956
kragiee,143449350,121890,6298,1137,234312
Puppers,143414790,98595,6798,1458,171425
Crayator,143191365,75165,4911,1796,599828
MANvsGAME,142696875,65775,5831,2103,510330
foggedftw2,142444290,111675,8622,1220,242205
Linkus7,142322655,121755,7248,1121,96728
Arcadum,142213980,134700,13801,992,120586
ImMarksman,142168560,77430,11141,1889,633443
SilentSentry,141219225,125760,5572,1085,301633
purple_hs,140426535,111810,5460,1149,88792
Zerkaa,140243025,51000,11192,2571,529504
Spraggy,139893270,81585,30415,1674,99807
Day9tv,139556325,64500,5597,2140,496790
JonBams,139067415,88830,5577,1522,309837
OuterHeaven,137995935,94575,6955,1101,137954
Yamikazexz,137528370,74490,12411,1643,201657
aircool,137305080,128055,12620,964,153703
robn_live,137249820,133545,73664,656,66223
Ezekiel_III,136597425,109890,18804,1190,190452
BrookeAB,135540690,48705,24357,2777,737161
innocents,135250410,83790,13654,1557,534759
RealKraftyy,135181170,108585,19953,1235,710277
Bamboe,134431230,118920,5956,1075,86644
MuTeX,133816530,150015,9448,824,200619
RayNarvaezJr,133649520,82605,6611,1589,528396
Zalae,133078635,95010,5934,1351,170668
KheZu,132976365,124635,5322,991,122158
RiotGamesOCE,132387150,40890,50458,3076,149775
AlcastHQ,132082785,28905,12999,4680,81928
julien,132054690,80895,15150,1685,511861
Ziqoftw,131821710,94515,10569,1293,198304
CouRageJD,131341275,14010,72100,8717,2115596
JeffHoogland,130973670,113655,3375,1070,68914
Call of Duty (callofduty),130938960,3645,170131,19897,968465
Wackyjacky101,130390590,130335,5981,1012,209700
iceiceice,130179570,37545,8409,3107,183960
StarCraft,130159470,14850,56109,6636,342409
MadDecentLive,129993915,42510,36968,3069,95371
WillerZ,129956310,133770,24663,872,79392
Markstrom,129129615,106620,71423,915,93045
ops1x,128783415,68235,23490,1457,268942
Warcraft,127646610,10005,51972,13741,593564
DizzyKitten,127398990,80100,10080,1584,613135
Halifax,126885855,160500,12478,793,228316
Gigz,126436725,98685,15061,1136,254401
richwcampbell,126132675,69870,34756,1878,108410
Cizzorz,125812350,56970,11782,1891,1866339
RyuQuezacotl,125680845,125820,4022,976,79063
Sigma,125477415,94695,81683,798,61206
Robbaz,125249820,86415,4938,1427,229652
TommyKayLIVE,124680810,108105,3536,1124,127770
TMemoryy,124620795,130440,3244,924,171107
Hitch,124224555,132870,3976,875,96343
Adin2Huncho,124133550,64920,14502,1470,199880
ALLinPav,124058985,137760,6221,850,71579
Surefour,124056555,53145,7911,2289,331662
NumotTheNummy,123899265,105930,3359,1118,103069
CallMeCarsonLIVE,123486240,14340,61531,8208,1151712
ZiggyDLive,123398085,99075,18437,1227,173807
KEEMSTAR,123365895,3465,74195,35333,146035
RelaxBeats,123273930,521430,2830,235,166162
LAGTVMaximusBlack,123125340,161535,7138,725,256353
Destructoid,122628630,103020,14566,1190,48007
AndyMilonakis,122311065,104745,10543,1153,547446
